id,description,category,cloud_provider,vulnerable_code,poc,source,timestamp
VUL015,Azure Function with anonymous HTTP trigger.,Access Control,Azure,"{ ""authLevel"": ""anonymous"" }",curl https://function-app.azurewebsites.net/api/function,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/azure-functions'}",2025-06-19T10:47:00Z
VUL016,GCP BigQuery dataset with public access.,Access Control,GCP,bq update --set_iam_policy policy.json dataset,bq show --format=prettyjson project:dataset,"{'cve': 'N/A', 'link': 'https://cloud.google.com/bigquery/docs'}",2025-06-19T10:47:00Z
VUL017,Oracle Cloud Compute instance with default credentials.,Authentication,Oracle Cloud,"{ ""userData"": ""#!/bin/bash
useradd -m opc"" }",ssh opc@instance-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/launchinginstance.htm'}",2025-06-19T10:47:00Z
VUL018,IBM Cloud Object Storage with public read ACL.,Misconfiguration,IBM Cloud,"{ ""acl"": ""public-read"" }",curl https://s3.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/cloud-object-storage'}",2025-06-19T10:47:00Z
VUL019,Alibaba ECS instance with exposed RDP port.,Network Security,Alibaba Cloud,"{ ""SecurityGroupRules"": [{ ""PortRange"": ""3389/3389"", ""SourceCidrIp"": ""0.0.0.0/0"" }] }",nmap -p 3389 instance-ip,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/25471.htm'}",2025-06-19T10:47:00Z
VUL020,AWS API Gateway with no authentication.,API Security,AWS,"{ ""auth"": ""NONE"" }",curl https://api-id.execute-api.region.amazonaws.com/stage/resource,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/apigateway'}",2025-06-19T10:47:00Z
VUL021,Azure Key Vault with overly permissive access policy.,Access Control,Azure,"{ ""accessPolicies"": [{ ""permissions"": { ""secrets"": [""all""] }, ""principalId"": ""*"" }] }",az keyvault secret show --vault-name vault --name secret,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/key-vault'}",2025-06-19T10:47:00Z
VUL022,GCP Cloud SQL with public IP and weak password.,Authentication,GCP,gcloud sql instances create instance --no-assign-ip --password=weak123,mysql -h instance-ip -u root -pweak123,"{'cve': 'N/A', 'link': 'https://cloud.google.com/sql/docs'}",2025-06-19T10:47:00Z
VUL023,AWS SNS topic with public publish permissions.,Access Control,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""sns:Publish"", ""Resource"": ""arn:aws:sns:region:account:topic"" }] }",aws sns publish --topic-arn arn:aws:sns:region:account:topic --message 'test',"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/sns'}",2025-06-19T10:47:00Z
VUL024,Azure Virtual Machine with exposed management ports.,Network Security,Azure,"{ ""networkSecurityGroup"": { ""rules"": [{ ""destinationPortRange"": ""22,3389"", ""sourceAddressPrefix"": ""*"" }] } }","nmap -p 22,3389 vm-ip","{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/virtual-machines'}",2025-06-19T10:47:00Z
VUL025,GCP Service Account with excessive permissions.,IAM Misconfiguration,GCP,gcloud iam service-accounts add-iam-policy-binding sa@project.iam.gserviceaccount.com --member='allUsers' --role='roles/editor',gcloud auth activate-service-account --key-file sa-key.json,"{'cve': 'N/A', 'link': 'https://cloud.google.com/iam/docs'}",2025-06-19T10:47:00Z
VUL026,Oracle Cloud Database with public endpoint.,Network Security,Oracle Cloud,"{ ""endpoint"": { ""public"": true } }",sqlplus user/pass@db-endpoint:1521/service,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/managingDBsystem.htm'}",2025-06-19T10:47:00Z
VUL027,IBM Cloud Functions with no authentication.,Access Control,IBM Cloud,"{ ""auth"": ""open"" }",curl https://functions.cloud.ibm.com/api/v1/namespaces/namespace/actions/action,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/openwhisk'}",2025-06-19T10:47:00Z
VUL028,Alibaba RAM user with full access policy.,IAM Misconfiguration,Alibaba Cloud,"{ ""PolicyDocument"": { ""Statement"": [{ ""Action"": ""*"", ""Resource"": ""*"", ""Effect"": ""Allow"" }] } }",aliyun sts GetCallerIdentity,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/28627.htm'}",2025-06-19T10:47:00Z
VUL029,AWS DynamoDB with open read/write permissions.,Access Control,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""dynamodb:*"", ""Resource"": ""arn:aws:dynamodb:region:account:table/table"" }] }",aws dynamodb scan --table-name table,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/dynamodb'}",2025-06-19T10:47:00Z
VUL030,Azure Event Hub with public access.,Network Security,Azure,"{ ""networkRuleSet"": { ""defaultAction"": ""Allow"" } }",curl https://eventhub-namespace.servicebus.windows.net/hub,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/event-hubs'}",2025-06-19T10:47:00Z
VUL031,GCP Cloud Storage bucket with legacy ACLs.,Misconfiguration,GCP,gsutil acl set legacy-bucket-acl.json gs://bucket,gsutil ls gs://bucket,"{'cve': 'N/A', 'link': 'https://cloud.google.com/storage/docs'}",2025-06-19T10:47:00Z
VUL032,AWS CloudTrail with disabled logging.,Monitoring,AWS,aws cloudtrail stop-logging --name trail,aws cloudtrail describe-trails,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/awscloudtrail'}",2025-06-19T10:47:00Z
VUL033,Azure App Service with weak TLS version.,Encryption,Azure,"{ ""minTlsVersion"": ""1.0"" }",sslscan app-service.azurewebsites.net,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/app-service'}",2025-06-19T10:47:00Z
VUL034,GCP Kubernetes Engine with no network policy.,Network Security,GCP,gcloud container clusters create cluster --no-enable-network-policy,kubectl exec pod -- nslookup svc,"{'cve': 'N/A', 'link': 'https://cloud.google.com/kubernetes-engine/docs'}",2025-06-19T10:47:00Z
VUL035,Oracle Cloud File Storage with public share.,Access Control,Oracle Cloud,"{ ""share"": { ""access"": ""public"" } }",curl https://filestorage/share/file.txt,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/File/Tasks/managingfileshares.htm'}",2025-06-19T10:47:00Z
VUL036,IBM Cloud VPC with open ingress rules.,Network Security,IBM Cloud,"{ ""rules"": [{ ""direction"": ""ingress"", ""port_max"": 65535, ""source"": ""0.0.0.0/0"" }] }",nmap -p- vpc-ip,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T10:47:00Z
VUL037,Alibaba ApsaraDB with public access.,Network Security,Alibaba Cloud,"{ ""NetType"": ""Internet"" }",mysql -h db-endpoint -u user -p,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/26198.htm'}",2025-06-19T10:47:00Z
VUL038,AWS Elastic Beanstalk with outdated runtime.,Patch Management,AWS,"{ ""SolutionStackName"": ""64bit Amazon Linux 2018.03 v2.9.2 running PHP 5.4"" }",curl http://beanstalk-app.eba-id.region.elasticbeanstalk.com,"{'cve': 'CVE-2019-12345', 'link': 'https://cve.mitre.org'}",2025-06-19T10:47:00Z
VUL039,Azure Service Bus with shared access key exposure.,Data Exposure,Azure,"{ ""connectionString"": ""Endpoint=sb://namespace.servicebus.windows.net/;SharedAccessKeyName=RootManageSharedAccessKey;SharedAccessKey=key"" }",az servicebus queue list --namespace-name namespace,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/service-bus-messaging'}",2025-06-19T10:47:00Z
VUL040,GCP Dataflow with public pipeline access.,Access Control,GCP,gcloud dataflow jobs run job --gcs-location gs://public-bucket/template,gsutil cat gs://public-bucket/template,"{'cve': 'N/A', 'link': 'https://cloud.google.com/dataflow/docs'}",2025-06-19T10:47:00Z
VUL041,AWS SQS queue with open permissions.,Access Control,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""sqs:*"", ""Resource"": ""arn:aws:sqs:region:account:queue"" }] }",aws sqs send-message --queue-url queue-url --message-body 'test',"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/sqs'}",2025-06-19T10:47:00Z
VUL042,Azure Logic Apps with unauthenticated endpoint.,API Security,Azure,"{ ""accessControl"": { ""triggers"": { ""openAuthenticationPolicies"": {} } } }",curl https://logicapp.azurewebsites.net/api/trigger,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/logic-apps'}",2025-06-19T10:47:00Z
VUL043,GCP Cloud Run with public invocation.,Access Control,GCP,gcloud run deploy service --image image --allow-unauthenticated,curl https://service-region.run.app,"{'cve': 'N/A', 'link': 'https://cloud.google.com/run/docs'}",2025-06-19T10:47:00Z
VUL044,Oracle Cloud Load Balancer with no SSL.,Encryption,Oracle Cloud,"{ ""listener"": { ""protocol"": ""HTTP"" } }",curl http://lb-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Balance/Tasks/managingloadbalancers.htm'}",2025-06-19T10:47:00Z
VUL045,IBM Cloud Databases with weak encryption.,Encryption,IBM Cloud,"{ ""encryption"": { ""type"": ""none"" } }",curl https://database-endpoint/api,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/databases'}",2025-06-19T10:47:00Z
VUL046,Alibaba Function Compute with public trigger.,Access Control,Alibaba Cloud,"{ ""triggerConfig"": { ""authType"": ""anonymous"" } }",curl https://fc-service.endpoint/invoke,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/52984.htm'}",2025-06-19T10:47:00Z
VUL047,AWS ECS with exposed task definition secrets.,Data Exposure,AWS,"{ ""containerDefinitions"": [{ ""environment"": [{ ""name"": ""DB_PASS"", ""value"": ""pass123"" }] }] }",aws ecs describe-task-definition --task-definition task-def,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/ecs'}",2025-06-19T10:47:00Z
VUL048,Azure Data Lake with public access.,Access Control,Azure,"{ ""firewallRules"": { ""allowAll"": true } }",curl https://datalake.dfs.core.windows.net/filesystem/file.txt,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/data-lake-store'}",2025-06-19T10:47:00Z
VUL049,GCP Cloud Composer with open Airflow UI.,Access Control,GCP,gcloud composer environments create env --airflow-ui-public,curl https://airflow-ui.composer.region.cloud.google.com,"{'cve': 'N/A', 'link': 'https://cloud.google.com/composer/docs'}",2025-06-19T10:47:00Z
VUL050,AWS Redshift with public access.,Network Security,AWS,"{ ""PubliclyAccessible"": true }",psql -h redshift-endpoint -U user -d db,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/redshift'}",2025-06-19T10:47:00Z
VUL051,AWS IAM role with pass-role privilege escalation.,IAM Misconfiguration,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Action"": ""iam:PassRole"", ""Resource"": ""*"" }] }",aws sts assume-role --role-arn arn:aws:iam::account:role/admin,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/iam'}",2025-06-19T10:49:00Z
VUL052,Azure SQL Database with no encryption at rest.,Encryption,Azure,"{ ""transparentDataEncryption"": { ""status"": ""Disabled"" } }",az sql db show --name db --server server --resource-group rg,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/azure-sql'}",2025-06-19T10:49:00Z
VUL053,GCP Cloud Build with public trigger access.,Access Control,GCP,gcloud builds triggers create manual --repo-name=repo --public,curl https://cloudbuild.googleapis.com/v1/projects/project/triggers/trigger:run,"{'cve': 'N/A', 'link': 'https://cloud.google.com/cloud-build/docs'}",2025-06-19T10:49:00Z
VUL054,Oracle Cloud VPN with weak encryption protocol.,Encryption,Oracle Cloud,"{ ""vpnConfig"": { ""encryption"": ""DES"" } }",nmap --script ssl-enum-ciphers -p 1194 vpn-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/managingVPN.htm'}",2025-06-19T10:49:00Z
VUL055,IBM Cloud IAM with overly broad service access.,IAM Misconfiguration,IBM Cloud,"{ ""policy"": { ""roles"": [""Manager""], ""resources"": [{ ""serviceName"": ""*"" }] } }",ibmcloud iam user-policies user,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/account'}",2025-06-19T10:49:00Z
VUL056,Alibaba Cloud ECS with no security group rules.,Network Security,Alibaba Cloud,"{ ""SecurityGroupRules"": [] }",nmap -p- ecs-ip,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/25471.htm'}",2025-06-19T10:49:00Z
VUL057,AWS KMS key with public access policy.,Access Control,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""kms:*"", ""Resource"": ""*"" }] }",aws kms get-key-policy --key-id key-id,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/kms'}",2025-06-19T10:49:00Z
VUL058,Azure Redis Cache with public access enabled.,Network Security,Azure,"{ ""publicNetworkAccess"": ""Enabled"" }",redis-cli -h redis-endpoint -p 6379,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/azure-cache-for-redis'}",2025-06-19T10:49:00Z
VUL059,GCP Cloud DNS with open zone access.,Access Control,GCP,gcloud dns managed-zones update zone --iam-roles=roles/dns.admin --member=allUsers,gcloud dns record-sets list --zone=zone,"{'cve': 'N/A', 'link': 'https://cloud.google.com/dns/docs'}",2025-06-19T10:49:00Z
VUL060,Oracle Cloud Block Volume with no encryption.,Encryption,Oracle Cloud,"{ ""encryptionType"": ""NONE"" }",oci bv volume get --volume-id volume-id,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Block/Concepts.htm'}",2025-06-19T10:49:00Z
VUL061,IBM Cloud Log Analysis with public endpoint.,Network Security,IBM Cloud,"{ ""endpoint"": ""public"" }",curl https://log-analysis-endpoint/api/logs,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/log-analysis'}",2025-06-19T10:49:00Z
VUL062,Alibaba Cloud VPC with open routing table.,Network Security,Alibaba Cloud,"{ ""RouteEntry"": [{ ""DestinationCidrBlock"": ""0.0.0.0/0"", ""NextHopType"": ""Internet"" }] }",ping instance-ip,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/65398.htm'}",2025-06-19T10:49:00Z
VUL063,AWS EKS with public API server endpoint.,Network Security,AWS,"{ ""resourcesVpcConfig"": { ""endpointPublicAccess"": true } }",kubectl get nodes --server=https://eks-endpoint,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/eks'}",2025-06-19T10:49:00Z
VUL064,Azure API Management with no authentication.,API Security,Azure,"{ ""authenticationSettings"": {} }",curl https://api-management.azure-api.net/endpoint,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/api-management'}",2025-06-19T10:49:00Z
VUL065,GCP Cloud Scheduler with open job access.,Access Control,GCP,gcloud scheduler jobs create http job --schedule='* * * * *' --uri=https://public-uri,curl https://scheduler.googleapis.com/v1/projects/project/jobs/job,"{'cve': 'N/A', 'link': 'https://cloud.google.com/scheduler/docs'}",2025-06-19T10:49:00Z
VUL066,Oracle Cloud Identity with weak MFA policy.,Authentication,Oracle Cloud,"{ ""mfa"": { ""enabled"": false } }",oci iam user login-profile get --user-id user-id,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Identity/Tasks/managingmfa.htm'}",2025-06-19T10:49:00Z
VUL067,IBM Cloud Security Group with open ports.,Network Security,IBM Cloud,"{ ""rules"": [{ ""port_max"": 65535, ""port_min"": 1, ""source"": ""0.0.0.0/0"" }] }",nmap -p- sg-ip,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T10:49:00Z
VUL068,Alibaba Cloud SLB with HTTP instead of HTTPS.,Encryption,Alibaba Cloud,"{ ""ListenerPortAndProtocol"": { ""Port"": 80, ""Protocol"": ""HTTP"" } }",curl http://slb-ip,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/27595.htm'}",2025-06-19T10:49:00Z
VUL069,AWS CloudFormation with hardcoded secrets.,Data Exposure,AWS,"{ ""Parameters"": { ""DBPassword"": { ""Default"": ""pass123"" } } }",aws cloudformation describe-stacks --stack-name stack,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/cloudformation'}",2025-06-19T10:49:00Z
VUL070,Azure Synapse Analytics with public access.,Network Security,Azure,"{ ""networkAcls"": { ""defaultAction"": ""Allow"" } }",curl https://synapse-workspace.dev.azuresynapse.net/sqlpools,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/synapse-analytics'}",2025-06-19T10:49:00Z
VUL071,GCP Cloud Functions with outdated runtime.,Patch Management,GCP,gcloud functions deploy fn --runtime python37,curl https://us-central1-project.cloudfunctions.net/fn,"{'cve': 'CVE-2021-23456', 'link': 'https://cve.mitre.org'}",2025-06-19T10:49:00Z
VUL072,Oracle Cloud API Gateway with no rate limiting.,API Security,Oracle Cloud,"{ ""rateLimit"": { ""enabled"": false } }",for i in {1..1000}; do curl https://api-gateway-endpoint; done,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/APIGateway/Tasks/apigateway.htm'}",2025-06-19T10:49:00Z
VUL073,IBM Cloud Kubernetes with exposed dashboard.,Access Control,IBM Cloud,kubectl proxy --address=0.0.0.0 --port=8001,curl http://dashboard-ip:8001,"{'cve': 'CVE-2018-1002105', 'link': 'https://cve.mitre.org'}",2025-06-19T10:49:00Z
VUL074,Alibaba Cloud OSS with no versioning enabled.,Data Protection,Alibaba Cloud,"{ ""VersioningConfiguration"": { ""Status"": ""Disabled"" } }",curl -X DELETE https://oss.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31847.htm'}",2025-06-19T10:49:00Z
VUL075,AWS Fargate with excessive task role permissions.,IAM Misconfiguration,AWS,"{ ""taskRoleArn"": ""arn:aws:iam::account:role/FullAccess"" }",aws ecs describe-tasks --cluster cluster --tasks task-id,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/ecs'}",2025-06-19T10:49:00Z
VUL076,Azure Machine Learning with public workspace.,Access Control,Azure,"{ ""publicNetworkAccess"": ""Enabled"" }",curl https://ml-workspace.region.api.azureml.ms/pipelines,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/machine-learning'}",2025-06-19T10:49:00Z
VUL077,GCP Cloud Monitoring with public dashboard.,Access Control,GCP,"gcloud monitoring dashboards create --config='{""public"": true}'",curl https://monitoring.googleapis.com/v3/projects/project/dashboards/dashboard-id,"{'cve': 'N/A', 'link': 'https://cloud.google.com/monitoring/docs'}",2025-06-19T10:49:00Z
VUL078,Oracle Cloud Object Storage with no logging.,Monitoring,Oracle Cloud,"{ ""logging"": { ""enabled"": false } }",oci os bucket get --name bucket,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/managingbuckets.htm'}",2025-06-19T10:49:00Z
VUL079,IBM Cloud Activity Tracker disabled.,Monitoring,IBM Cloud,ibmcloud at disable,ibmcloud at status,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/activity-tracker'}",2025-06-19T10:49:00Z
VUL080,Alibaba Cloud RDS with weak password policy.,Authentication,Alibaba Cloud,"{ ""Password"": ""pass123"" }",mysql -h rds-endpoint -u user -ppass123,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/26198.htm'}",2025-06-19T10:49:00Z
VUL081,AWS Glue with public data catalog access.,Access Control,AWS,"{ ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""glue:*"", ""Resource"": ""*"" }] }",aws glue get-databases,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/glue'}",2025-06-19T10:49:00Z
VUL082,Azure Stream Analytics with no encryption.,Encryption,Azure,"{ ""encryption"": ""None"" }",az stream-analytics job show --job-name job --resource-group rg,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/stream-analytics'}",2025-06-19T10:49:00Z
VUL083,GCP Cloud Armor with no security policy.,Network Security,GCP,gcloud compute backend-services create service --no-security-policy,curl https://backend-service-ip,"{'cve': 'N/A', 'link': 'https://cloud.google.com/armor/docs'}",2025-06-19T10:49:00Z
VUL084,Oracle Cloud Compute with outdated OS image.,Patch Management,Oracle Cloud,"{ ""imageId"": ""Oracle-Linux-6.9-2018"" }",ssh opc@compute-ip,"{'cve': 'CVE-2019-12345', 'link': 'https://cve.mitre.org'}",2025-06-19T10:49:00Z
VUL085,IBM Cloud Flow Logs disabled.,Monitoring,IBM Cloud,ibmcloud is flow-log-disable,ibmcloud is flow-logs,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T10:49:00Z
VUL086,Alibaba Cloud ECS with no disk encryption.,Encryption,Alibaba Cloud,"{ ""Encrypted"": false }",aliyun ecs DescribeDisks --InstanceId instance-id,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/59643.htm'}",2025-06-19T10:49:00Z
VUL087,AWS ElastiCache with no AUTH token.,Authentication,AWS,"{ ""AuthToken"": null }",redis-cli -h elasticache-endpoint -p 6379,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/elasticache'}",2025-06-19T10:49:00Z
VUL088,Azure Databricks with public cluster access.,Access Control,Azure,"{ ""publicAccess"": true }",curl https://databricks-workspace.azuredatabricks.net/api/2.0/clusters/list,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/databricks'}",2025-06-19T10:49:00Z
VUL089,GCP Cloud VPN with weak pre-shared key.,Encryption,GCP,gcloud compute vpn-tunnels create tunnel --pre-shared-key=weak123,nmap --script ipsec-vpn -p 500 vpn-ip,"{'cve': 'N/A', 'link': 'https://cloud.google.com/vpn/docs'}",2025-06-19T10:49:00Z
VUL090,Oracle Cloud Functions with public invoke.,Access Control,Oracle Cloud,"{ ""invoke"": { ""public"": true } }",curl https://functions-endpoint/invoke,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functions.htm'}",2025-06-19T10:49:00Z
VUL091,IBM Cloud Object Storage with no encryption.,Encryption,IBM Cloud,"{ ""encryption"": ""None"" }",curl https://s3.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/cloud-object-storage'}",2025-06-19T10:49:00Z
VUL092,Alibaba Cloud CDN with no HTTPS enforcement.,Encryption,Alibaba Cloud,"{ ""ForceHttps"": false }",curl http://cdn-endpoint/file,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/27127.htm'}",2025-06-19T10:49:00Z
VUL093,AWS CodeBuild with public build logs.,Data Exposure,AWS,"{ ""logsConfig"": { ""cloudWatchLogs"": { ""status"": ""ENABLED"", ""public"": true } } }",aws codebuild batch-get-builds --ids build-id,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/codebuild'}",2025-06-19T10:49:00Z
